2010_a,zip,2011_a,2012_a,2013_a,2010_s,2011_s,2012_s,2013_s,2010_r,2011_r,2012_r,2013_r,total_a,total_s,total_r
21599.0,11233.0,20464.0,16876.0,17561,914.0,944.0,802.0,849.0,0.0423167739247,0.0461297888976,0.0475231097416,0.0483457661864,76500.0,3509.0,0.0458692810458
14463.0,11234.0,13986.0,13388.0,12880,735.0,820.0,723.0,696.0,0.0508193320888,0.0586300586301,0.0540035853003,0.0540372670807,54717.0,2974.0,0.0543523950509
15515.0,11235.0,15223.0,14719.0,14596,926.0,921.0,962.0,1040.0,0.0596841766033,0.0605005583656,0.0653577009308,0.0712523979172,60053.0,3849.0,0.0640933841773
12733.0,11236.0,12990.0,11768.0,11535,844.0,1219.0,845.0,718.0,0.0662844577083,0.0938414164742,0.0718048946295,0.0622453402687,49026.0,3626.0,0.0739607555175
14868.0,11237.0,13925.0,12141.0,11037,519.0,505.0,485.0,426.0,0.0349071832123,0.0362657091562,0.0399472860555,0.0385974449579,51971.0,1935.0,0.0372323026303
14094.0,11238.0,14313.0,13528.0,14050,642.0,840.0,734.0,757.0,0.0455512984249,0.0586879060994,0.0542578356002,0.0538790035587,55985.0,2973.0,0.0531035098687
579.0,11239.0,688.0,601.0,834,50.0,33.0,39.0,85.0,0.0863557858377,0.0479651162791,0.0648918469218,0.101918465228,2702.0,207.0,0.0766099185788
8607.0,11354.0,7939.0,7247.0,7560,249.0,321.0,374.0,385.0,0.0289299407459,0.0404333039426,0.0516075617497,0.0509259259259,31353.0,1329.0,0.0423882882021
10633.0,11355.0,9117.0,8771.0,8929,326.0,374.0,450.0,475.0,0.0306592683156,0.0410222660963,0.0513054383765,0.0531974465226,37450.0,1625.0,0.043391188251
4268.0,11356.0,4897.0,3916.0,3990,184.0,156.0,154.0,163.0,0.0431115276476,0.0318562385134,0.0393258426966,0.0408521303258,17071.0,657.0,0.0384863218323
6273.0,11357.0,6746.0,6072.0,5539,244.0,298.0,349.0,301.0,0.0388968595568,0.0441743255262,0.0574769433465,0.0543419389782,24630.0,1192.0,0.0483962647178
7440.0,11358.0,6400.0,6159.0,5134,286.0,291.0,272.0,289.0,0.0384408602151,0.04546875,0.0441630134762,0.0562913907285,25133.0,1138.0,0.0452791151076
2232.0,11360.0,1945.0,1651.0,1588,140.0,127.0,122.0,105.0,0.0627240143369,0.0652956298201,0.0738946093277,0.066120906801,7416.0,494.0,0.0666127292341
5528.0,11361.0,4915.0,4551.0,4059,220.0,306.0,304.0,281.0,0.0397973950796,0.0622583926755,0.0667985058229,0.0692288741069,19053.0,1111.0,0.0583110271348
